Round,OPP_current,Board,P
0.0,2.0,14.0,0.0
0.0,2.0,15.0,0.0
0.0,2.0,16.0,0.0
0.0,2.0,17.0,0.0
0.0,3.0,1.0,1.0
0.0,3.0,2.0,0.0
0.0,3.0,3.0,0.0
0.0,3.0,4.0,0.0
0.0,3.0,5.0,0.0
0.0,3.0,6.0,0.0
0.0,3.0,7.0,0.0
0.0,3.0,8.0,0.0
0.0,3.0,9.0,0.0
0.0,3.0,10.0,0.0
0.0,3.0,11.0,0.0
0.0,3.0,12.0,0.0
0.0,3.0,13.0,0.0
0.0,3.0,14.0,0.0
0.0,3.0,15.0,0.0
0.0,3.0,16.0,0.0
0.0,3.0,17.0,0.0
0.0,4.0,1.0,1.0
0.0,4.0,2.0,0.0
0.0,4.0,3.0,0.0
0.0,4.0,4.0,0.0
0.0,4.0,5.0,0.0
0.0,4.0,6.0,0.0
0.0,4.0,7.0,0.0
0.0,4.0,8.0,0.0
0.0,4.0,9.0,0.0
0.0,4.0,10.0,0.0
0.0,4.0,11.0,0.0
0.0,4.0,12.0,0.0
0.0,4.0,13.0,0.0
0.0,4.0,14.0,0.0
0.0,4.0,15.0,0.0
0.0,4.0,16.0,0.0
0.0,4.0,17.0,0.0
0.0,5.0,1.0,1.0
0.0,5.0,2.0,0.0
0.0,5.0,3.0,0.0
0.0,5.0,4.0,0.0
0.0,5.0,5.0,0.0
0.0,5.0,6.0,0.0
0.0,5.0,7.0,0.0
0.0,5.0,8.0,0.0
0.0,5.0,9.0,0.0
0.0,5.0,10.0,0.0
0.0,5.0,11.0,0.0
0.0,5.0,12.0,0.0
0.0,5.0,13.0,0.0
0.0,5.0,14.0,0.0
0.0,5.0,15.0,0.0
0.0,5.0,16.0,0.0
0.0,5.0,17.0,0.0
0.0,6.0,1.0,1.0
0.0,6.0,2.0,0.0
0.0,6.0,3.0,0.0
0.0,6.0,4.0,0.0
0.0,6.0,5.0,0.0
0.0,6.0,6.0,0.0
0.0,6.0,7.0,0.0
0.0,6.0,8.0,0.0
0.0,6.0,9.0,0.0
0.0,6.0,10.0,0.0
0.0,6.0,11.0,0.0
0.0,6.0,12.0,0.0
0.0,6.0,13.0,0.0
0.0,6.0,14.0,0.0
0.0,6.0,15.0,0.0
0.0,6.0,16.0,0.0
0.0,6.0,17.0,0.0
